Date,Expenses,Category,Amount,Municipality,Province,Region,ID
10-12-2021,Grocery,Survival,481.75,Quezon City,Metro Manila,National Capital Region,E2021-418
10-12-2021,Bank fees,Obligation,50,Quezon City,Metro Manila,National Capital Region,E2021-419
10-12-2021,Transportation,Survival,40,Quezon City,Metro Manila,National Capital Region,E2021-420
10-14-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-421
10-14-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-422
10-14-2021,Pension Fund,Obligation,1300,Makati City,Metro Manila,National Capital Region,E2021-423
10-14-2021,Debt repayment,Obligation,1150,Quezon City,Metro Manila,National Capital Region,E2021-424
10-14-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-425
10-14-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-426
10-16-2021,Home,Obligation,8000,Pontevedra,Capiz,Western Visayas,E2021-427
10-16-2021,Home,Optional,100,Quezon City,Metro Manila,National Capital Region,E2021-428
10-16-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-429
10-17-2021,Grocery,Survival,409.75,Quezon City,Metro Manila,National Capital Region,E2021-430
10-17-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-431
10-18-2021,Food/Drinks,Survival,99,Quezon City,Metro Manila,National Capital Region,E2021-432
10-18-2021,Phone/Internet,Optional,99,Quezon City,Metro Manila,National Capital Region,E2021-433
10-19-2021,Electricity/Water,Obligation,527,Quezon City,Metro Manila,National Capital Region,E2021-434
10-19-2021,Grocery,Survival,344.53,Quezon City,Metro Manila,National Capital Region,E2021-435
10-19-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-436
10-21-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-437
10-22-2021,Food/Drinks,Survival,160,Quezon City,Metro Manila,National Capital Region,E2021-438
10-22-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-439
10-24-2021,Eating/Going Out,Optional,255,Quezon City,Metro Manila,National Capital Region,E2021-440
10-25-2021,Food/Drinks,Survival,136,Quezon City,Metro Manila,National Capital Region,E2021-441
10-26-2021,Grocery,Survival,416,Quezon City,Metro Manila,National Capital Region,E2021-442
10-29-2021,Debt repayment,Obligation,1150,Quezon City,Metro Manila,National Capital Region,E2021-443
10-29-2021,Apartment,Obligation,1000,Quezon City,Metro Manila,National Capital Region,E2021-444
10-29-2021,Phone/Internet,Optional,99,Quezon City,Metro Manila,National Capital Region,E2021-445
10-29-2021,Food/Drinks,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-446
10-30-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-447
10-30-2021,Debt repayment,Obligation,1130,Quezon City,Metro Manila,National Capital Region,E2021-448
10-30-2021,Bank fees,Unexpected,300,Quezon City,Metro Manila,National Capital Region,E2021-449
10-30-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-450
10-30-2021,Food/Drinks,Optional,24,Quezon City,Metro Manila,National Capital Region,E2021-451
10-30-2021,Debt repayment,Obligation,6.62,Quezon City,Metro Manila,National Capital Region,E2021-452
11-2-2021,Grocery,Survival,447.4,Quezon City,Metro Manila,National Capital Region,E2021-453
11-2-2021,Hair Cut,Optional,70,Quezon City,Metro Manila,National Capital Region,E2021-454
11-2-2021,Transportation,Survival,55,Quezon City,Metro Manila,National Capital Region,E2021-455
11-3-2021,Electricity/Water,Obligation,130.59,Quezon City,Metro Manila,National Capital Region,E2021-456
11-4-2021,Phone/Internet,Optional,99,Quezon City,Metro Manila,National Capital Region,E2021-457
11-5-2021,Food/Drinks,Survival,60,Quezon City,Metro Manila,National Capital Region,E2021-458
11-6-2021,Home,Obligation,2000,Pontevedra,Capiz,Western Visayas,E2021-459
11-6-2021,Home,Obligation,200,Pontevedra,Capiz,Western Visayas,E2021-460
11-6-2021,Food/Drinks,Survival,46,Quezon City,Metro Manila,National Capital Region,E2021-461
11-7-2021,Grocery,Survival,573.75,Quezon City,Metro Manila,National Capital Region,E2021-462
11-7-2021,Transportation,Survival,20,Quezon City,Metro Manila,National Capital Region,E2021-463
